type,data-set,entityid,permission,role
RolePrivilege,0,sample_data:2,abcreate,audit_examiner
RolePrivilege,0,sample_data:3,abdelete,audit_examiner
RolePrivilege,0,sample_data:4,abedit,audit_examiner
RolePrivilege,0,sample_data:5,abview,audit_examiner
RolePrivilege,0,sample_data:6,anytagcreate,audit_examiner
RolePrivilege,0,sample_data:7,anytagdelete,audit_examiner
RolePrivilege,0,sample_data:8,anytagedit,audit_examiner
RolePrivilege,0,sample_data:9,anytagview,audit_examiner
RolePrivilege,0,sample_data:10,abviewsearch,audit_examiner
RolePrivilege,0,sample_data:11,accountbilling,audit_examiner
RolePrivilege,0,sample_data:12,accountclaims,audit_examiner
RolePrivilege,0,sample_data:13,accountcontacts,audit_examiner
RolePrivilege,0,sample_data:14,accountdocs,audit_examiner
RolePrivilege,0,sample_data:15,accounthistory,audit_examiner
RolePrivilege,0,sample_data:16,accountnotes,audit_examiner
RolePrivilege,0,sample_data:17,accountrelations,audit_examiner
RolePrivilege,0,sample_data:18,accountroles,audit_examiner
RolePrivilege,0,sample_data:19,accountsummary,audit_examiner
RolePrivilege,0,sample_data:20,accountworkorders,audit_examiner
RolePrivilege,0,sample_data:21,actcreate,audit_examiner
RolePrivilege,0,sample_data:22,actown,audit_examiner
RolePrivilege,0,sample_data:23,actqueuenext,audit_examiner
RolePrivilege,0,sample_data:24,actraown,audit_examiner
RolePrivilege,0,sample_data:25,actview,audit_examiner
RolePrivilege,0,sample_data:26,advanceaudit,audit_examiner
RolePrivilege,0,sample_data:27,completeaudit,audit_examiner
RolePrivilege,0,sample_data:28,contactclaims,audit_examiner
RolePrivilege,0,sample_data:29,createaudit,audit_examiner
RolePrivilege,0,sample_data:30,createevalissue,audit_examiner
RolePrivilege,0,sample_data:31,createreferralreason,audit_examiner
RolePrivilege,0,sample_data:32,doccreate,audit_examiner
RolePrivilege,0,sample_data:33,docdelete,audit_examiner
RolePrivilege,0,sample_data:34,docedit,audit_examiner
RolePrivilege,0,sample_data:35,docview,audit_examiner
RolePrivilege,0,sample_data:36,editaccountcontacts,audit_examiner
RolePrivilege,0,sample_data:37,editaccountroles,audit_examiner
RolePrivilege,0,sample_data:38,editaccountsummary,audit_examiner
RolePrivilege,0,sample_data:39,editaudit,audit_examiner
RolePrivilege,0,sample_data:40,editintdoc,audit_examiner
RolePrivilege,0,sample_data:41,editintnote,audit_examiner
RolePrivilege,0,sample_data:42,editnonrenewexp,audit_examiner
RolePrivilege,0,sample_data:43,editpolicyroles,audit_examiner
RolePrivilege,0,sample_data:44,editratingoverrides,audit_examiner
RolePrivilege,0,sample_data:45,notecreate,audit_examiner
RolePrivilege,0,sample_data:46,noteedit,audit_examiner
RolePrivilege,0,sample_data:47,noteeditbody,audit_examiner
RolePrivilege,0,sample_data:48,noteview,audit_examiner
RolePrivilege,0,sample_data:49,orgsearch,audit_examiner
RolePrivilege,0,sample_data:50,orgviewagency,audit_examiner
RolePrivilege,0,sample_data:51,orgviewbasic,audit_examiner
RolePrivilege,0,sample_data:52,pfilebilling,audit_examiner
RolePrivilege,0,sample_data:53,pfilecontacts,audit_examiner
RolePrivilege,0,sample_data:54,pfiledetails,audit_examiner
RolePrivilege,0,sample_data:55,pfilepayments,audit_examiner
RolePrivilege,0,sample_data:56,pfilepricing,audit_examiner
RolePrivilege,0,sample_data:57,pfilesummary,audit_examiner
RolePrivilege,0,sample_data:58,pfileworkorders,audit_examiner
RolePrivilege,0,sample_data:59,prodcodeviewbasic,audit_examiner
RolePrivilege,0,sample_data:60,quote,audit_examiner
RolePrivilege,0,sample_data:61,ratingworksheetview,audit_examiner
RolePrivilege,0,sample_data:62,rescheduleaudit,audit_examiner
RolePrivilege,0,sample_data:63,reverseaudit,audit_examiner
RolePrivilege,0,sample_data:64,reviseaudit,audit_examiner
RolePrivilege,0,sample_data:65,searchaccounts,audit_examiner
RolePrivilege,0,sample_data:66,searchactivities,audit_examiner
RolePrivilege,0,sample_data:67,searchcontacts,audit_examiner
RolePrivilege,0,sample_data:68,searchpols,audit_examiner
RolePrivilege,0,sample_data:69,searchprodcodes,audit_examiner
